name_alessi,E(B-V),s_E(B-V),A_V_calc,s_A_V_calc,AV50,s_AV50,E(BP-RP),s_E(BP-RP),E(U-B),s_E(U-B),E(U-BP),s_E(U-BP),E(U-G),s_E(U-G),E(U-RP),s_E(U-RP)
ASCC_105,0.12135,0.00659519052838329,0.376185,0.0204450906379882,0.507996805,0.212003195,0.20885,0.0022650635094611,0.0901,0.0051,0.1726,0.0126,0.2601,0.0151,0.3476,0.0475999999999999
ASCC_107,0.4326,0.0130903810567666,1.34106,0.040580181275976464,1.52046615,0.03953385,0.6426,0.0333603367391252,0.3276,0.00760000000000001,0.6551,0.0251,0.9726,0.0126,1.2826,0.0576
ASCC_108,0.14135,0.00424578098794424,0.43818500000000005,0.013161921062627143,0.43545975,0.0645402499999999,0.2351,0.0001,0.1176,0.0026,0.2101,0.0101,0.3076,0.0176,0.4251,0.0301
ASCC_11,0.23635,0.00749509972887452,0.732685,0.02323480915951101,0.824493905,0.0955060950000002,0.35885,0.0109253175473055,0.1951,0.0001,0.3501,0.00510000000000001,0.4701,0.00509999999999998,0.7051,0.0151
ASCC_111,0.2001,0.00363553390593273,0.62031,0.011270155108391463,0.690406005,0.019593995,0.3151,0.0123474487139159,0.1501,0.0001,0.2951,0.0101,0.4201,0.0151,0.5951,0.0351
ASCC_113,0.1176,0.0026,0.36456,0.00806,,,0.1726,0.00259999999999999,0.0551,0.0001,0.1201,0.0001,0.1951,0.0101,0.2976,0.0126
ASCC_114,0.31635,0.0268803566070357,0.9806850000000001,0.08332910548181068,1.07278274,0.01721726,0.45385,0.0130301005409857,0.2351,0.0001,0.4351,0.0201,0.5751,0.0151,0.9126,0.0476
ASCC_115,0.25135,0.00554862367942585,0.7791850000000001,0.017200733406220133,0.92326831,0.12673169,0.39135,0.0152554445662277,0.2176,0.00760000000000001,0.3901,0.0151,0.5276,0.0026,0.7651,0.0401
ASCC_12,0.2576,0.0026,0.79856,0.00806,0.84957541,0.140424590000001,0.3976,0.00760000000000001,0.1876,0.0026,0.3601,0.00510000000000001,0.5226,0.0026,0.7576,0.00760000000000001
ASCC_125,0.8201,0.0001,2.54231,0.00031,3.417376165,0.407376165,1.26135,0.0231149407994024,0.5726,0.00760000000000001,1.1801,0.0401,1.7651,0.0751000000000001,2.3976,0.0826
ASCC_127,0.1301,0.0001,0.40331,0.00031,,,0.25385,0.0171934929139717,0.1126,0.0026,0.2001,0.0201,0.3051,0.0350999999999999,0.4401,0.0451
ASCC_13,0.2226,0.00569016994374948,0.69006,0.017639526825623388,0.65846444,0.04153556,0.3626,0.0109972473588517,0.1351,0.0001,0.2876,0.00759999999999998,0.4426,0.0126,0.6351,0.0251
ASCC_130,0.4726,0.0104077640640441,1.46506,0.03226406859853671,1.86,,0.7351,0.0001,0.1326,0.00760000000000001,0.4376,0.0026,0.7626,0.0376,1.2176,0.0476
ASCC_18,0.07135,0.00749509972887452,0.221185,0.02323480915951101,0.31404941,0.08595059,0.16135,0.00424578098794425,0.0426,0.0026,0.0976,0.0076,0.1451,0.0200999999999999,0.2201,0.0501
ASCC_19,0.05135,0.0239156986040721,0.159185,0.07413866567262352,0.39486479,0.16513521,0.1901,0.0001,0.0226,0.0226,0.0851,0.0201,0.1576,0.0376,0.2401,0.0601
