solution_id;  DESIGNATION;  SOURCE_ID;  random_index;  ref_epoch;  ra;  ra_error;  dec;  dec_error;  parallax;  parallax_error;  parallax_over_error;  pm;  pmra;  pmra_error;  pmdec;  pmdec_error;  ra_dec_corr;  ra_parallax_corr;  ra_pmra_corr;  ra_pmdec_corr;  dec_parallax_corr;  dec_pmra_corr;  dec_pmdec_corr;  parallax_pmra_corr;  parallax_pmdec_corr;  pmra_pmdec_corr;  astrometric_n_obs_al;  astrometric_n_obs_ac;  astrometric_n_good_obs_al;  astrometric_n_bad_obs_al;  astrometric_gof_al;  astrometric_chi2_al;  astrometric_excess_noise;  astrometric_excess_noise_sig;  astrometric_params_solved;  astrometric_primary_flag;  nu_eff_used_in_astrometry;  pseudocolour;  pseudocolour_error;  ra_pseudocolour_corr;  dec_pseudocolour_corr;  parallax_pseudocolour_corr;  pmra_pseudocolour_corr;  pmdec_pseudocolour_corr;  astrometric_matched_transits;  visibility_periods_used;  astrometric_sigma5d_max;  matched_transits;  new_matched_transits;  matched_transits_removed;  ipd_gof_harmonic_amplitude;  ipd_gof_harmonic_phase;  ipd_frac_multi_peak;  ipd_frac_odd_win;  ruwe;  scan_direction_strength_k1;  scan_direction_strength_k2;  scan_direction_strength_k3;  scan_direction_strength_k4;  scan_direction_mean_k1;  scan_direction_mean_k2;  scan_direction_mean_k3;  scan_direction_mean_k4;  duplicated_source;  phot_g_n_obs;  phot_g_mean_flux;  phot_g_mean_flux_error;  phot_g_mean_flux_over_error;  phot_g_mean_mag;  phot_bp_n_obs;  phot_bp_mean_flux;  phot_bp_mean_flux_error;  phot_bp_mean_flux_over_error;  phot_bp_mean_mag;  phot_rp_n_obs;  phot_rp_mean_flux;  phot_rp_mean_flux_error;  phot_rp_mean_flux_over_error;  phot_rp_mean_mag;  phot_bp_rp_excess_factor;  phot_bp_n_contaminated_transits;  phot_bp_n_blended_transits;  phot_rp_n_contaminated_transits;  phot_rp_n_blended_transits;  phot_proc_mode;  bp_rp;  bp_g;  g_rp;  radial_velocity;  radial_velocity_error;  rv_method_used;  rv_nb_transits;  rv_nb_deblended_transits;  rv_visibility_periods_used;  rv_expected_sig_to_noise;  rv_renormalised_gof;  rv_chisq_pvalue;  rv_time_duration;  rv_amplitude_robust;  rv_template_teff;  rv_template_logg;  rv_template_fe_h;  rv_atm_param_origin;  vbroad;  vbroad_error;  vbroad_nb_transits;  grvs_mag;  grvs_mag_error;  grvs_mag_nb_transits;  rvs_spec_sig_to_noise;  phot_variable_flag;  l;  b;  ecl_lon;  ecl_lat;  in_qso_candidates;  in_galaxy_candidates;  non_single_star;  has_xp_continuous;  has_xp_sampled;  has_rvs;  has_epoch_photometry;  has_epoch_rv;  has_mcmc_gspphot;  has_mcmc_msc;  in_andromeda_survey;  classprob_dsc_combmod_quasar;  classprob_dsc_combmod_galaxy;  classprob_dsc_combmod_star;  teff_gspphot;  teff_gspphot_lower;  teff_gspphot_upper;  logg_gspphot;  logg_gspphot_lower;  logg_gspphot_upper;  mh_gspphot;  mh_gspphot_lower;  mh_gspphot_upper;  distance_gspphot;  distance_gspphot_lower;  distance_gspphot_upper;  azero_gspphot;  azero_gspphot_lower;  azero_gspphot_upper;  ag_gspphot;  ag_gspphot_lower;  ag_gspphot_upper;  ebpminrp_gspphot;  ebpminrp_gspphot_lower;  ebpminrp_gspphot_upper;  libname_gspphot; Source_original; Pmemb;  Cluster   
16361480689213767688;Gaia DR3 415294771267242560030;41529477126724256008;3560957678;2016.0000008;277.4629108;0.0430414;-12.4265978;0.0366184;0.4273498;0.0473134;9.0323754;0.7146944;0.3487548;0.0499754;-0.6238258;0.0398354;0.1023784;-0.2465214;0.0013224;-0.2265544;-0.2901404;-0.1718334;-0.2701114;-0.0830584;0.1521704;0.0065434;2312;02;2302;12;3.0264894;305.0681464;0.1640574;2.1429224;312;False5;1.3562554;nan4;nan4;nan4;nan4;nan4;nan4;nan4;262;162;0.0695234;262;92;02;0.0269364;81.3545844;02;02;1.1444614;0.2690924;0.2018264;0.3462414;0.8227264;-136.1024174;2.4241984;-29.5922264;39.7767034;False5;2292;8228.5845248;4.8637754;1691.8101814;15.8990544;132;2507.9173098;20.5321164;122.1460724;16.8402604;142;8970.8765038;31.6172314;283.7337654;14.8658084;1.3949904;02;12;02;02;02;1.9744514;0.9412064;1.0332454;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;19.4330218;-0.9386198;277.4197778;10.8206738;False5;False5;02;False5;False5;False5;False5;False5;False5;True5;False5;0.0000004;0.0000004;0.9999994;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;1;41529477126724256008; 0.800;Dias_6                        
16361480689213767688;Gaia DR3 415303051965770508830;41530305196577050888;15866321888;2016.0000008;277.6695718;0.0287854;-12.4098298;0.0271744;0.3862788;0.0325184;11.8789094;0.9080684;0.5336178;0.0359724;-0.7347388;0.0297534;0.2753474;0.0368994;-0.2418594;-0.2577914;-0.2160714;-0.1695014;-0.4127554;-0.3422294;0.0108804;0.2774304;2202;02;2192;12;1.2370974;248.5538644;0.0204204;0.0639714;312;False5;1.4515724;nan4;nan4;nan4;nan4;nan4;nan4;nan4;252;172;0.0547774;252;102;02;0.0063774;155.6626284;02;02;1.0588014;0.1904484;0.2251114;0.3179204;0.8389394;-102.6608354;-25.2064554;-35.9518554;40.9156614;False5;2192;14414.8339718;5.2349664;2753.5678714;15.2903424;242;6156.0951978;9.0502674;680.2114264;15.8652794;232;12035.5601458;19.3813114;620.9879154;14.5467304;1.2620094;02;12;02;02;02;1.3185494;0.5749374;0.7436124;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;19.5413558;-1.1097398;277.6258768;10.8266548;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999984;9263.5576174;9235.4521484;9310.2275394;3.5329004;3.5114004;3.5431004;-0.2853004;-0.3137004;-0.2649004;4796.2177734;4736.1455084;4895.3642584;2.8241004;2.8174004;2.8338004;2.4339004;2.4279004;2.4426004;1.3297004;1.3263004;1.3348004;A1;41530305196577050888; 0.700;Dias_6                        
16361480689213767688;Gaia DR3 415302904218895078430;41530290421889507848;6500012058;2016.0000008;277.6615368;0.0381704;-12.4227178;0.0379734;0.2399118;0.0501114;4.7876294;0.8773114;0.5414458;0.0507574;-0.6902998;0.0389904;0.2538794;0.0630194;-0.2528854;-0.2369854;-0.3854854;-0.0097104;-0.4036864;-0.4916254;0.0567874;0.2481824;2182;02;2182;02;0.7824274;236.6357574;0.0243984;0.0531474;312;False5;1.4040894;nan4;nan4;nan4;nan4;nan4;nan4;nan4;252;162;0.0757374;252;102;02;0.0049034;71.2359924;02;02;1.0365634;0.2473294;0.2245204;0.3965474;0.8361724;-88.5321354;-24.4934354;-37.3038834;41.0669824;False5;2082;8535.9637338;3.9593154;2155.9194344;15.8592364;212;3146.6472778;8.8883024;354.0212104;16.5939224;212;7889.5455828;14.7627144;534.4237674;15.0052654;1.2929054;02;02;02;12;02;1.5886564;0.7346864;0.8539714;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;19.5262968;-1.1087468;277.6171908;10.8142098;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999994;9242.6386724;9200.9033204;9268.3593754;3.6274004;3.6137004;3.6425004;-0.3413004;-0.3416004;-0.3409004;4104.6196294;4041.5576174;4164.7104494;3.4457004;3.4373004;3.4521004;2.8997004;2.8921004;2.9053004;1.5920004;1.5877004;1.5951004;A1;41530290421889507848; 1.000;Dias_6                        
16361480689213767688;Gaia DR3 415303092765393971230;41530309276539397128;13379194608;2016.0000008;277.7594738;0.0470644;-12.3804078;0.0457674;0.3783238;0.0555554;6.8099074;0.6888004;0.4349068;0.0618464;-0.5341388;0.0518014;0.1697284;0.0843414;-0.3158314;-0.2162254;-0.3493764;-0.0896854;-0.4702574;-0.3524324;0.1327124;0.2010604;2402;02;2382;22;-0.6081894;229.1936494;0.0000004;0.0000004;312;False5;1.4612754;nan4;nan4;nan4;nan4;nan4;nan4;nan4;282;162;0.0920784;282;122;02;0.0106024;57.4297374;12;02;0.9705424;0.2427134;0.1727894;0.3763454;0.8360934;-99.5366974;-4.9010844;-35.8967134;40.2201164;False5;2302;5108.7509648;3.4981164;1460.4294434;16.4165804;242;2213.4096138;12.4432714;177.8800514;16.9758874;242;4151.4730358;13.8185294;300.4280094;15.7023904;1.2458784;02;12;02;12;02;1.2734984;0.5593074;0.7141904;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;19.6080708;-1.1739778;277.7167748;10.8512588;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999984;5450.5244144;5322.9531254;5563.7612304;4.4861004;4.4319004;4.5639004;-1.5868004;-1.7640004;-1.4826004;1106.8471684;947.5352174;1208.3923344;0.9706004;0.8749004;1.0484004;0.7802004;0.7007004;0.8453004;0.4290004;0.3848004;0.4652004;MARCS1;41530309276539397128; 0.900;Dias_6                        
16361480689213767688;Gaia DR3 415302893478897292830;41530289347889729288;14855186468;2016.0000008;277.6137878;0.0411654;-12.4515918;0.0418644;0.3053708;0.0455664;6.7016444;0.9570844;0.9561308;0.0482824;-0.0427268;0.0413734;0.5547884;-0.1672874;-0.3289074;-0.4630944;-0.3405894;-0.2891604;-0.5546124;-0.3689144;-0.0046404;0.4948354;1942;02;1932;12;-0.0790434;191.2681124;0.0364224;0.1431424;312;False5;1.2719164;nan4;nan4;nan4;nan4;nan4;nan4;nan4;222;142;0.0826754;252;112;02;0.0078194;37.9589734;02;02;0.9941564;0.2729844;0.3423684;0.4022934;0.8280994;-112.5850604;-34.1371614;-33.9684754;41.1573564;False5;1922;11465.9988288;7.4565244;1537.7136234;15.5388374;242;2154.7881918;10.6448424;202.4255684;17.0050324;222;14326.9693668;31.4268054;455.8837284;14.3575104;1.4374464;02;242;02;152;02;2.6475224;1.4661944;1.1813284;-5.7853664;4.8270034;22;102;72;82;3.8330804;nan4;nan4;964.3661504;nan4;5500.0000004;4.5000004;0.0000004;02;nan4;nan4;02;13.6254584;0.0613074;42;nan4;NOT_AVAILABLE13;19.4791118;-1.0807768;277.5682088;10.7878878;False5;False5;02;True5;False5;False5;False5;False5;False5;True5;False5;0.0000004;0.0000004;1.0000004;4729.5541994;4671.6323244;4989.7895514;2.3325004;2.2445004;2.7643004;-0.1919004;-0.1949004;-0.1889004;4245.0981454;2709.5197754;4647.0507814;3.9413004;3.8847004;4.1699004;2.7582004;2.7125004;2.9447004;1.5006004;1.4737004;1.6113004;MARCS1;41530289347889729288; 0.800;Dias_6                        
16361480689213767688;Gaia DR3 415302800707602649630;41530280070760264968;4960252038;2016.0000008;277.6997388;0.1026884;-12.4553678;0.0950134;0.8152878;0.1181164;6.9023954;1.2398684;-0.2280928;0.1356204;-1.2187078;0.1135184;0.1832774;-0.0347864;-0.1111364;-0.2350414;-0.2506434;-0.1824994;-0.3360384;-0.2796704;0.1338854;0.2964004;2382;02;2372;12;15.0777064;765.6433724;0.7826614;19.8134984;312;False5;1.3029464;nan4;nan4;nan4;nan4;nan4;nan4;nan4;272;172;0.2040244;272;92;02;0.1503994;78.2827994;62;02;1.7744394;0.1785424;0.1781054;0.2963844;0.8458834;-108.0295724;-12.5416084;-36.5238234;39.9564254;False5;2382;3282.2459188;9.3325164;351.7000124;16.8969384;252;820.2282828;4.9725754;164.9504244;18.0537054;242;4113.3714508;13.9658724;294.5302434;15.7124004;1.5031174;02;252;02;242;02;2.3413054;1.1567674;1.1845384;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;19.5146088;-1.1569258;277.6533138;10.7795888;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999994;9199.8632814;9079.7089844;9322.8144534;4.3093004;4.2675004;4.3487004;-1.4672004;-2.0633004;-1.3354004;1195.4622804;1153.3089604;1239.7524414;5.2520004;5.2252004;5.2809004;4.1347004;4.1069004;4.1622004;2.2859004;2.2704004;2.3026004;PHOENIX1;41530280070760264968; 0.600;Dias_6                        
16361480689213767688;Gaia DR3 415302794267726310430;41530279426772631048;1768424868;2016.0000008;277.6955758;0.0301654;-12.4619768;0.0280114;0.3426448;0.0338874;10.1113184;0.8084254;0.4987338;0.0400164;-0.6362528;0.0327274;0.1636844;0.0478574;-0.1194334;-0.2486554;-0.2840244;-0.2198824;-0.3636854;-0.1865344;0.0718304;0.2639554;2402;02;2402;02;-1.4577834;213.0224764;0.0000004;0.0000004;312;False5;1.4938524;nan4;nan4;nan4;nan4;nan4;nan4;nan4;272;172;0.0594704;272;92;02;0.0151544;54.0590064;02;02;0.9321314;0.2312524;0.1956494;0.3806934;0.8317294;-89.6733554;-13.4105534;-38.0159954;40.3843734;False5;2402;11683.6649328;4.4413584;2630.6513674;15.5184194;252;5510.5724998;8.9202044;617.7630624;15.9855514;252;8912.3757338;12.2364154;728.3486334;14.8729114;1.2344544;02;02;02;02;02;1.1126394;0.4671324;0.6455084;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;19.5068668;-1.1563798;277.6488168;10.7732098;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999994;8353.1396484;8241.4609384;8454.8964844;3.4222004;3.3934004;3.4418004;-0.0988004;-0.1034004;-0.0921004;6991.8574224;6871.6674804;7185.6894534;2.1254004;2.0917004;2.1542004;1.8478004;1.8157004;1.8757004;1.0024004;0.9848004;1.0177004;A1;41530279426772631048; 1.000;Dias_6                        
16361480689213767688;Gaia DR3 415302777087856998430;41530277708785699848;1207520838;2016.0000008;277.6712258;0.0296634;-12.4857358;0.0278714;0.2645628;0.0343114;7.7106944;0.7658804;0.5334818;0.0384314;-0.5495188;0.0348054;0.1352144;0.0728484;-0.1823094;-0.1721294;-0.2520264;-0.1549024;-0.3362334;-0.2207344;0.1314254;0.3710854;2182;02;2172;12;-0.4580104;206.4697884;0.0000004;0.0000004;312;False5;1.3354054;nan4;nan4;nan4;nan4;nan4;nan4;nan4;252;162;0.0606644;252;92;02;0.0209324;65.3962784;02;02;0.9762794;0.2039574;0.1646644;0.3115534;0.8818094;-81.7380984;-16.3486804;-37.7218364;40.8007974;False5;2162;13203.0039068;7.6510704;1725.6416024;15.3856854;232;3860.1269428;35.0634354;110.0898134;16.3720384;212;14821.1798488;68.9290164;215.0209054;14.3206884;1.4149294;02;212;02;202;02;2.0513504;0.9863534;1.0649974;35.9571384;23.4957374;22;42;12;32;2.6353394;nan4;nan4;964.3661504;nan4;5500.0000004;4.5000004;0.0000004;02;nan4;nan4;02;13.7918264;0.1430274;42;nan4;NOT_AVAILABLE13;19.4747978;-1.1462938;277.6233418;10.7507728;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999994;5140.4218754;5115.2133794;5183.7202154;3.1438004;3.0992004;3.2015004;-0.4008004;-0.4028004;-0.3975004;2218.9768074;2085.6618654;2330.6533204;2.7084004;2.6868004;2.7443004;2.0118004;1.9941004;2.0418004;1.0978004;1.0872004;1.1154004;MARCS1;41530277708785699848; 0.800;Dias_6                        
16361480689213767688;Gaia DR3 415302866423242841630;41530286642324284168;768898358;2016.0000008;277.6354588;0.0343814;-12.4655218;0.0324064;0.3989048;0.0372674;10.7039704;0.8478724;0.6772598;0.0420694;-0.5101058;0.0358544;0.2212944;0.0121394;-0.2758834;-0.2437804;-0.1426654;-0.2074664;-0.4613234;-0.2818244;0.0267234;0.2603254;2182;02;2172;12;-0.4974064;209.0392614;0.0000004;0.0000004;312;False5;1.4331874;nan4;nan4;nan4;nan4;nan4;nan4;nan4;252;162;0.0646344;252;112;02;0.0100414;16.3227374;12;02;0.9743824;0.1458174;0.1677834;0.2356534;0.8467034;-117.3416374;-13.6125434;-35.5128564;40.1842694;False5;2142;9950.3664868;4.5168794;2202.9296884;15.6927694;222;3993.9888968;16.5282314;241.6464844;16.3350264;232;8674.7428698;22.4937574;385.6511234;14.9022544;1.2731934;02;122;02;112;02;1.4327724;0.6422574;0.7905154;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;19.4765568;-1.1059808;277.5889558;10.7728408;False5;False5;02;True5;False5;False5;False5;False5;False5;True5;False5;0.0000004;0.0000004;0.9999994;7190.6889654;7035.4472664;7962.8090824;3.7653004;3.6522004;3.9665004;-0.5195004;-0.5389004;-0.4712004;2768.7370614;2317.3349614;3119.0742194;2.3327004;2.2457004;2.6759004;1.9251004;1.8507004;2.2409004;1.0530004;1.0127004;1.2204004;MARCS1;41530286642324284168; 0.900;Dias_6                        
16361480689213767688;Gaia DR3 415302794267725542430;41530279426772554248;1314761798;2016.0000008;277.7010458;0.0771034;-12.4664358;0.0732404;0.2546368;0.0829714;3.0689824;1.5567714;-0.2054238;0.0986034;-1.5431588;0.0826044;0.2892304;0.0856664;-0.2439594;-0.3616604;-0.1695714;-0.3097414;-0.4422424;-0.2675494;-0.0242964;0.2957084;2202;02;2202;02;2.0294074;271.5315864;0.2835664;2.1424614;312;False5;1.2784264;nan4;nan4;nan4;nan4;nan4;nan4;nan4;252;162;0.1533424;252;102;02;0.0097054;59.2224854;22;02;1.0978464;0.1985114;0.1672354;0.3065714;0.8418854;-88.4370804;-12.0397954;-37.2865984;40.9019244;False5;2202;2908.5027318;3.5166764;827.0602424;17.0281934;232;607.1417318;9.6884174;62.6667594;18.3803184;222;3797.3514288;12.8215684;296.1690374;15.7991934;1.5143514;02;232;02;222;02;2.5811244;1.3521254;1.2289994;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;19.5053848;-1.1631778;277.6539998;10.7684668;False5;False5;02;True5;False5;False5;False5;False5;False5;True5;False5;0.0000004;0.0000004;0.9999984;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;1;41530279426772554248; 0.600;Dias_6                        
