solution_id;  DESIGNATION;  SOURCE_ID;  random_index;  ref_epoch;  ra;  ra_error;  dec;  dec_error;  parallax;  parallax_error;  parallax_over_error;  pm;  pmra;  pmra_error;  pmdec;  pmdec_error;  ra_dec_corr;  ra_parallax_corr;  ra_pmra_corr;  ra_pmdec_corr;  dec_parallax_corr;  dec_pmra_corr;  dec_pmdec_corr;  parallax_pmra_corr;  parallax_pmdec_corr;  pmra_pmdec_corr;  astrometric_n_obs_al;  astrometric_n_obs_ac;  astrometric_n_good_obs_al;  astrometric_n_bad_obs_al;  astrometric_gof_al;  astrometric_chi2_al;  astrometric_excess_noise;  astrometric_excess_noise_sig;  astrometric_params_solved;  astrometric_primary_flag;  nu_eff_used_in_astrometry;  pseudocolour;  pseudocolour_error;  ra_pseudocolour_corr;  dec_pseudocolour_corr;  parallax_pseudocolour_corr;  pmra_pseudocolour_corr;  pmdec_pseudocolour_corr;  astrometric_matched_transits;  visibility_periods_used;  astrometric_sigma5d_max;  matched_transits;  new_matched_transits;  matched_transits_removed;  ipd_gof_harmonic_amplitude;  ipd_gof_harmonic_phase;  ipd_frac_multi_peak;  ipd_frac_odd_win;  ruwe;  scan_direction_strength_k1;  scan_direction_strength_k2;  scan_direction_strength_k3;  scan_direction_strength_k4;  scan_direction_mean_k1;  scan_direction_mean_k2;  scan_direction_mean_k3;  scan_direction_mean_k4;  duplicated_source;  phot_g_n_obs;  phot_g_mean_flux;  phot_g_mean_flux_error;  phot_g_mean_flux_over_error;  phot_g_mean_mag;  phot_bp_n_obs;  phot_bp_mean_flux;  phot_bp_mean_flux_error;  phot_bp_mean_flux_over_error;  phot_bp_mean_mag;  phot_rp_n_obs;  phot_rp_mean_flux;  phot_rp_mean_flux_error;  phot_rp_mean_flux_over_error;  phot_rp_mean_mag;  phot_bp_rp_excess_factor;  phot_bp_n_contaminated_transits;  phot_bp_n_blended_transits;  phot_rp_n_contaminated_transits;  phot_rp_n_blended_transits;  phot_proc_mode;  bp_rp;  bp_g;  g_rp;  radial_velocity;  radial_velocity_error;  rv_method_used;  rv_nb_transits;  rv_nb_deblended_transits;  rv_visibility_periods_used;  rv_expected_sig_to_noise;  rv_renormalised_gof;  rv_chisq_pvalue;  rv_time_duration;  rv_amplitude_robust;  rv_template_teff;  rv_template_logg;  rv_template_fe_h;  rv_atm_param_origin;  vbroad;  vbroad_error;  vbroad_nb_transits;  grvs_mag;  grvs_mag_error;  grvs_mag_nb_transits;  rvs_spec_sig_to_noise;  phot_variable_flag;  l;  b;  ecl_lon;  ecl_lat;  in_qso_candidates;  in_galaxy_candidates;  non_single_star;  has_xp_continuous;  has_xp_sampled;  has_rvs;  has_epoch_photometry;  has_epoch_rv;  has_mcmc_gspphot;  has_mcmc_msc;  in_andromeda_survey;  classprob_dsc_combmod_quasar;  classprob_dsc_combmod_galaxy;  classprob_dsc_combmod_star;  teff_gspphot;  teff_gspphot_lower;  teff_gspphot_upper;  logg_gspphot;  logg_gspphot_lower;  logg_gspphot_upper;  mh_gspphot;  mh_gspphot_lower;  mh_gspphot_upper;  distance_gspphot;  distance_gspphot_lower;  distance_gspphot_upper;  azero_gspphot;  azero_gspphot_lower;  azero_gspphot_upper;  ag_gspphot;  ag_gspphot_lower;  ag_gspphot_upper;  ebpminrp_gspphot;  ebpminrp_gspphot_lower;  ebpminrp_gspphot_upper;  libname_gspphot; Source_original; Pmemb;  Cluster
16361480689213767688;Gaia DR3 589382140797768281630;58938214079776828168;10300239628;2016.0000008;222.3261868;0.0082404;-54.6169328;0.0111584;0.9139128;0.0142744;64.0269394;4.1540264;-2.8122618;0.0112764;-3.0573058;0.0152394;-0.3397234;0.0711514;-0.0524864;-0.1454344;-0.0531584;-0.1571054;0.4730104;-0.0275814;-0.0468004;-0.3640274;3812;3812;3792;22;-2.9297774;547.4772954;0.0507394;3.3444134;312;False5;1.6183744;nan4;nan4;nan4;nan4;nan4;nan4;nan4;442;202;0.0230704;472;162;02;0.0199374;103.6324234;02;02;0.8939544;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;False5;3902;243052.3109478;50.9530184;4770.1259774;12.2231184;432;146420.7370398;84.8669134;1725.2982184;12.4245364;432;140775.7012788;89.2245104;1577.7694094;11.8765764;1.1816244;02;02;02;12;02;0.5479594;0.2014184;0.3465414;-7.2536444;18.5760674;12;172;82;132;21.2841094;28.6670214;0.0000004;803.1295174;214.4735724;10000.0000004;5.0000004;-0.5000004;5552;nan4;nan4;02;11.6948434;0.1073734;92;nan4;VARIABLE13;319.5318038;4.4111168;237.8842818;-36.3652158;False5;False5;02;True5;True5;False5;True5;False5;False5;True5;False5;0.0000004;0.0000004;0.9999854;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;1;58938214079776828168; 1.000;NGC_5749                      
16361480689213767688;Gaia DR3 589382103435214720030;58938210343521472008;3509586038;2016.0000008;222.3429648;0.0177474;-54.6547548;0.0229084;0.9003398;0.0293704;30.6546864;4.1379014;-2.7479218;0.0241854;-3.0937298;0.0322674;-0.3017614;0.0358904;-0.0975124;-0.1308944;0.0089144;-0.1268434;0.4215194;-0.1012084;-0.0795654;-0.2903134;3792;02;3782;12;-1.2676724;351.6144714;0.0000004;0.0000004;312;False5;1.4849244;nan4;nan4;nan4;nan4;nan4;nan4;nan4;432;202;0.0477644;452;162;02;0.0255684;95.1777344;02;02;0.9530694;0.0578414;0.3111994;0.1664544;0.3752404;-102.2892004;59.2041364;-41.4320144;-32.7205704;False5;3902;15599.2563818;5.0077844;3115.0019534;15.2046074;412;7221.3684018;9.7788484;738.4682624;15.6919944;402;12207.9401128;19.5689374;623.8427734;14.5312894;1.2455284;02;252;02;232;02;1.1607054;0.4873874;0.6733184;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;319.5238928;4.3728728;237.9126678;-36.3968768;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999854;6018.6298834;6002.3789064;6035.5239264;4.3409004;4.3192004;4.3577004;-0.7086004;-0.7313004;-0.6854004;918.6373294;897.5092164;946.2404794;1.0367004;1.0259004;1.0473004;0.8540004;0.8448004;0.8630004;0.4668004;0.4617004;0.4717004;MARCS1;58938210343521472008; 0.900;NGC_5749                      
16361480689213767688;Gaia DR3 589381993484046873630;58938199348404687368;5497628818;2016.0000008;222.3877098;0.0254244;-54.7106488;0.0349054;0.8874918;0.0444164;19.9811634;4.1665304;-2.7371108;0.0352274;-3.1413698;0.0495794;-0.2580544;-0.0567364;-0.0032294;-0.0964344;-0.0505844;-0.0992454;0.4294614;-0.0993834;-0.1301114;-0.2453994;3812;02;3792;22;-0.2162014;383.0059814;0.0000004;0.0000004;312;False5;1.4590024;nan4;nan4;nan4;nan4;nan4;nan4;nan4;432;192;0.0723974;462;152;02;0.0183894;104.3377154;02;02;0.9912174;0.1544734;0.3200684;0.0726274;0.3605684;-105.1484304;64.5199434;-30.2891274;-28.9863224;False5;3962;7111.4655908;4.3586884;1631.5609134;16.0574684;422;3129.8053788;18.4778194;169.3817444;16.5997494;442;5899.7618118;27.1650164;217.1823434;15.3208094;1.2697204;02;182;02;192;02;1.2789394;0.5422804;0.7366594;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;VARIABLE13;319.5225518;4.3112978;237.9679608;-36.4394628;False5;False5;02;True5;False5;False5;True5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999564;5300.2031254;5263.3989264;5335.8969734;4.5806004;4.5651004;4.5967004;-0.4323004;-0.4730004;-0.3905004;832.8604744;810.8919074;857.4932254;0.8022004;0.7770004;0.8301004;0.6402004;0.6194004;0.6632004;0.3451004;0.3339004;0.3575004;MARCS1;58938199348404687368; 0.800;NGC_5749                      
16361480689213767688;Gaia DR3 589382185898590156830;58938218589859015688;14154752028;2016.0000008;222.3781028;0.0124784;-54.5880708;0.0161514;0.9346468;0.0208294;44.8731464;4.0892994;-2.6629138;0.0174894;-3.1034268;0.0232774;-0.2849504;-0.0154564;-0.0424024;-0.0562034;0.0266704;-0.0853384;0.3868054;-0.1454244;0.0539044;-0.3433524;3782;92;3782;02;-0.7799424;356.5486764;0.0000004;0.0000004;312;False5;1.4906504;nan4;nan4;nan4;nan4;nan4;nan4;nan4;432;202;0.0346804;462;152;02;0.0152074;118.3954324;02;02;0.9706964;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;False5;3762;34223.1512658;6.4932794;5270.5498054;14.3515674;452;16025.0735398;18.9454354;845.8541264;14.8265424;412;26226.8930258;22.6951394;1155.6171884;13.7010294;1.2346024;02;12;02;02;02;1.1255134;0.4749754;0.6505384;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;319.5716188;4.4238278;237.9059638;-36.3273678;False5;False5;02;True5;True5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999964;7449.3598634;7428.0185554;7466.5107424;4.1542004;4.1128004;4.1729004;-1.8671004;-1.9282004;-1.7982004;970.8770754;954.4888924;1019.7756964;1.6321004;1.6226004;1.6388004;1.3865004;1.3780004;1.3925004;0.7557004;0.7512004;0.7589004;PHOENIX1;58938218589859015688; 1.000;NGC_5749                      
16361480689213767688;Gaia DR3 589382148102877452830;58938214810287745288;12677770098;2016.0000008;222.3662498;0.0105794;-54.6055608;0.0139874;0.9031488;0.0180284;50.0957304;4.2139624;-2.8343528;0.0147914;-3.1183208;0.0200744;-0.3187134;-0.0288974;-0.0626674;-0.0437104;0.1119694;-0.0726154;0.4083674;-0.1159494;0.0866124;-0.3569494;3862;02;3852;12;0.2129804;388.1235054;0.0000004;0.0000004;312;False5;1.5333884;nan4;nan4;nan4;nan4;nan4;nan4;nan4;442;192;0.0299704;462;142;02;0.0185984;116.4521644;02;02;1.0068564;0.1236944;0.3176824;0.1271444;0.3547334;-109.5325094;58.3460314;-43.0320514;-31.5648314;False5;3852;54629.6693408;9.7720114;5590.4223634;13.8437964;442;28152.0309428;20.9208374;1345.6455084;14.2147674;442;38141.1975028;18.6400344;2046.1978764;13.2944104;1.2135024;02;02;02;02;02;0.9203584;0.3709724;0.5493864;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;319.5577188;4.4111378;237.9059478;-36.3461588;False5;False5;02;True5;True5;False5;False5;False5;False5;True5;False5;0.0000004;0.0000004;0.9999974;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;1;58938214810287745288; 0.900;NGC_5749                      
16361480689213767688;Gaia DR3 589382141230929766430;58938214123092976648;15277516868;2016.0000008;222.3244098;0.0273694;-54.6133088;0.0366164;0.8965988;0.0452804;19.8010674;4.1770994;-2.7117228;0.0365704;-3.1772188;0.0495784;-0.3738284;-0.0017024;0.0518254;-0.1993874;0.0505884;-0.2013884;0.5115184;-0.1212134;-0.0057824;-0.3667704;3742;02;3742;02;1.6768354;433.0314644;0.1043424;1.1562144;312;False5;1.4510894;nan4;nan4;nan4;nan4;nan4;nan4;nan4;432;192;0.0757084;472;142;02;0.0133534;134.2419744;12;02;1.0614344;0.1071524;0.3551664;0.1276804;0.3548684;-123.6127094;56.8314254;-40.0264054;-32.8124314;False5;3882;7645.9963158;6.1205794;1249.2275394;15.9787824;452;3246.0260868;14.7796194;219.6285404;16.5601624;422;6356.9421778;13.3860604;474.8927004;15.2397754;1.2559474;02;212;02;202;02;1.3203874;0.5813804;0.7390074;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;319.5324728;4.4148248;237.8814488;-36.3622168;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999934;5682.9936524;5639.9785164;5718.8344734;4.5008004;4.4774004;4.5237004;-0.5305004;-0.5760004;-0.5032004;915.4912114;879.0476074;949.8363044;1.2020004;1.1758004;1.2258004;0.9639004;0.9418004;0.9840004;0.5226004;0.5105004;0.5336004;PHOENIX1;58938214123092976648; 0.700;NGC_5749                      
16361480689213767688;Gaia DR3 589381484959911078430;58938148495991107848;14157471368;2016.0000008;222.3308708;0.0257244;-54.8027808;0.0380404;0.8466438;0.0452174;18.7239884;4.0700344;-2.7612208;0.0372894;-2.9901248;0.0571644;-0.3286824;0.0215404;0.1013124;-0.1433604;-0.1760584;-0.1618654;0.5021454;0.1423694;-0.3124484;-0.3467354;3462;92;3452;12;-1.6698844;310.2754824;0.0000004;0.0000004;312;False5;1.4640254;nan4;nan4;nan4;nan4;nan4;nan4;nan4;402;192;0.0853224;432;142;02;0.0317424;88.3607334;12;02;0.9356924;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;False5;3682;7791.9670178;6.9297954;1124.4151614;15.9582494;402;3412.8886508;14.3818054;237.3060004;16.5057374;402;6222.4563498;14.4953644;429.2721564;15.2629914;1.2365744;02;12;02;12;02;1.2427464;0.5474884;0.6952584;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;319.4524058;4.2429538;237.9718848;-36.5372078;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999904;5652.4267584;5482.9721684;5707.8222664;4.3921004;4.3233004;4.5384004;-0.1486004;-0.3571004;-0.0890004;1172.3793954;910.1906744;1301.7547614;0.9810004;0.8707004;1.0170004;0.7921004;0.7003004;0.8223004;0.4271004;0.3779004;0.4432004;MARCS1;58938148495991107848; 0.900;NGC_5749                      
16361480689213767688;Gaia DR3 589381941944441395230;58938194194444139528;2795820978;2016.0000008;222.3016218;0.0193064;-54.6999538;0.0294174;0.9051218;0.0327094;27.6718014;3.9379224;-2.5987528;0.0267714;-2.9586678;0.0427044;-0.4051894;0.0296884;-0.0318484;-0.1965604;-0.0686114;-0.2048424;0.5601174;0.0441214;-0.2483624;-0.4125804;3512;02;3502;12;0.0285334;358.9351504;0.0000004;0.0000004;312;False5;1.4919234;nan4;nan4;nan4;nan4;nan4;nan4;nan4;402;182;0.0645344;422;142;02;0.0206494;87.9141164;12;02;1.0001204;0.0809784;0.4071094;0.0842584;0.3288574;-111.7546464;62.2073824;-36.2581754;-29.1904094;False5;3642;14489.0007438;7.6029594;1905.7055664;15.2847714;362;6855.2667458;17.1735124;399.1767584;15.7484824;362;11125.2917578;18.5447544;599.9158334;14.6321174;1.2409804;02;02;02;12;02;1.1163644;0.4637114;0.6526544;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;319.4824528;4.3427578;237.9055478;-36.4476858;False5;False5;02;True5;False5;False5;False5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999854;5807.7836914;5654.5898444;5854.2504884;4.4478004;4.3818004;4.4810004;-0.5817004;-0.7362004;-0.5292004;902.5767824;864.3082284;971.8717044;0.8082004;0.7191004;0.8359004;0.6641004;0.5890004;0.6874004;0.3611004;0.3205004;0.3738004;MARCS1;58938194194444139528; 1.000;NGC_5749                      
16361480689213767688;Gaia DR3 589383811114294067230;58938381111429406728;11444622998;2016.0000008;222.2451588;0.0127664;-54.4655938;0.0159674;0.8498988;0.0204204;41.6207284;4.0465364;-2.7529298;0.0182654;-2.9657778;0.0226174;-0.3417894;0.0247944;-0.0408564;-0.0993764;-0.0130794;-0.1169774;0.3155054;-0.0908064;0.0735574;-0.3881764;4102;4102;4032;72;0.8516444;1609.3381354;0.1510194;33.0911524;312;True5;1.6592644;nan4;nan4;nan4;nan4;nan4;nan4;nan4;462;202;0.0344684;502;172;12;0.0119464;124.3919144;02;02;1.0294914;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;False5;3812;459945.4430828;112.5837634;4085.3620614;11.5306024;432;295444.6302788;156.9510354;1882.4000244;11.6623524;422;244288.5056618;95.6790774;2553.2072754;11.2781384;1.1734724;02;02;02;02;02;0.3842134;0.1317504;0.2524634;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;NOT_AVAILABLE13;319.5560118;4.5677388;237.7614098;-36.2414908;False5;False5;02;True5;True5;False5;False5;False5;False5;True5;False5;0.0000004;0.0000004;0.9999464;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;1;58938381111429406728; 1.000;NGC_5749                      
16361480689213767688;Gaia DR3 589382924633004339230;58938292463300433928;2458796928;2016.0000008;221.9261338;0.0161674;-54.6456498;0.0214244;0.8652528;0.0253544;34.1271974;4.1902334;-2.8170408;0.0214424;-3.1019898;0.0274074;-0.4159404;0.1055144;-0.0797814;-0.0879144;-0.0700964;-0.0524274;0.3200794;-0.2108814;0.0427044;-0.3577814;3772;02;3762;12;-0.1803174;376.9223634;0.0000004;0.0000004;312;False5;1.4914834;nan4;nan4;nan4;nan4;nan4;nan4;nan4;432;202;0.0412274;472;172;02;0.0192814;100.6383214;02;02;0.9924914;0.1627614;0.4327594;0.1111434;0.3990354;-87.8096314;59.5253834;-24.9014454;-28.4453304;False5;3922;20879.0370178;6.7803834;3079.3303224;14.8880914;452;9769.6194648;14.4426984;676.4400634;15.3638484;442;15986.2095378;21.0388794;759.8413094;14.2385324;1.2335744;02;02;02;12;02;1.1253164;0.4757574;0.6495594;nan4;nan4;02;02;02;02;nan4;nan4;nan4;nan4;nan4;nan4;nan4;nan4;02;nan4;nan4;02;nan4;nan4;02;nan4;VARIABLE13;319.3102538;4.4863358;237.6296298;-36.4768308;False5;False5;02;True5;True5;False5;True5;False5;True5;True5;False5;0.0000004;0.0000004;0.9999904;6154.3095704;6128.2480474;6179.6196294;4.1399004;4.1193004;4.1641004;-0.6630004;-0.6915004;-0.6371004;1096.3721924;1066.6635744;1125.1357424;1.0435004;1.0284004;1.0569004;0.8650004;0.8521004;0.8766004;0.4727004;0.4657004;0.4790004;MARCS1;58938292463300433928; 0.900;NGC_5749                      
