  pmRApmDEcor    PlxpmRAcor   PlxpmDEcor    RFG        RFBP          RFRP       E_BR_RP_      Nper          __Fe_H_temp    RA_ICRS       e_RA_ICRS         DE_ICRS       e_DE_ICRS         Source        Plx         e_Plx         pmRA        e_pmRA        pmDE        e_pmDE        Dup          FG          e_FG    Gmag        e_Gmag         FBP      e_FBP       BPmag       e_BPmag        FRP         e_FRP          RPmag      e_RPmag    BP-RP       RV      e_RV    Teff     AG    EBR-RP_    Rad     Lum    Pmemb    Cluster    
  0.3108 -0.4906 -0.2412  2409.761   502.887   355.851 1.28  14  --- 301.22939051177 0.0315 -11.18684883128 0.0181 4190669036038417152   2.1358  0.0393   1.268 0.066  -8.56  0.037 0     22564.0        9.3636  14.8048 0.0005      9216.4         18.327    15.44   0.0022      19677.0       55.295    14.027  0.0031  1.4129    ---   ---  4423.5  0.649  0.3275   0.87     0.259   0.7   Alessi_10
 0.2112 -0.5302 -0.3116   989.916    58.04    210.868 1.46  12  --- 301.01434571105 0.1123 -11.41920205892 0.0654 4190657903483144960   2.2071  0.1376   1.136 0.222  -8.043 0.135 0      2163.4        2.1854  17.3505 0.0011       426.63         7.3507   18.7763 0.0187       2731.8       12.955    16.1708 0.0051  2.6055    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
-0.161  -0.3439 -0.3268  3197.262   726.686  1140.873 1.215 11  0.0 300.80143188283 0.0577 -11.19550042872 0.0271 4190723255705770240   2.0438  0.0572   1.259 0.111  -8.064 0.058 0    193230.0       60.437   12.4732 0.0003    102530.0        141.1      12.8242 0.0015     132190.0      115.87     11.9589 0.001   0.8653  -11.36  4.42 5789.0  0.5227 0.2847   1.34     1.826   0.8   Alessi_10
 0.2442 -0.5786 -0.267    550.032    96.914   308.508 1.345 13  --- 301.00697580963 0.0681 -11.03721931667 0.0406 4190732120518267776   2.3256  0.0933   1.189 0.146  -8.1   0.08  0      5187.9        9.4319  16.4009 0.002       1567.2         16.171    17.3636 0.0112       5412.0       17.542    15.4285 0.0035  1.935     ---   ---  3989.16 0.224  0.1583   0.53     0.064   1.0   Alessi_10
 0.337  -0.3533 -0.1559  1052.264    74.229   209.125 1.416 14  --- 301.67801064926 0.0943 -10.8650927943  0.0668 4190774206899418880   2.2585  0.1093   1.598 0.201  -7.63  0.141 0      1999.9        1.9006  17.4358 0.001        459.65         6.1923   18.6953 0.0146       2371.5       11.34     16.3243 0.0052  2.371     ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.2593 -0.3068 -0.1712   757.19    104.997   229.152 1.389 14  --- 301.71337910241 0.072  -10.83732043169 0.0468 4190797747617897088   2.394   0.0821   1.308 0.151  -8.101 0.103 0      3030.4        4.0021  16.9846 0.0014       789.26         7.517    18.1083 0.0103       3420.8       14.928    15.9266 0.0047  2.1817    ---   ---  3607.0  0.2288 0.1275   0.55     0.046   1.0   Alessi_10
 0.3771 -0.4139 -0.1888  1215.106   357.274   311.276 1.238 13  --- 300.9403397191  0.0241 -11.04532067542 0.0148 4190731914359864448   2.277   0.0292   1.536 0.048  -8.098 0.03  0     49827.0       41.007   13.9447 0.0009     23314.0         65.256    14.4323 0.003       38378.0      123.29     13.3017 0.0035  1.1306    ---   ---  5087.9  0.308  0.15     0.83     0.412   1.0   Alessi_10
 0.3525 -0.2407 -0.2455   869.555   211.848   320.307 1.251 13  --- 300.96183631929 0.0279 -10.88586402525 0.0171 4190738820667368960   2.2203  0.0313   1.544 0.057  -7.943 0.035 0     29586.0       34.024   14.5107 0.0012     12978.0         61.262    15.0684 0.0051      24029.0       75.017    13.8101 0.0034  1.2583    ---   ---  4885.55 0.387  0.1827   0.72     0.269   1.0   Alessi_10
 0.4667 -0.5053 -0.2479   887.877    55.595   173.328 1.447 14  --- 301.25489951433 0.11   -10.67124867366 0.0771 4190841934241762304   2.2165  0.1361   1.902 0.23   -7.941 0.161 0      1529.7        1.7229  17.7269 0.0012       318.61         5.7309   19.0932 0.0195       1895.4       10.935    16.5677 0.0063  2.5255    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.1506 -0.4772 -0.2491  1018.754    51.399   219.47  1.46  14  --- 301.45149303155 0.1155 -10.61191466941 0.0737 4190863649596606464   2.0859  0.1462   1.674 0.258  -8.348 0.153 0      1792.8        1.7598  17.5545 0.0011       356.77         6.9412   18.9704 0.0211       2261.0       10.302    16.3762 0.0049  2.5943    ---   ---     ---  ---    ---      ---      ---     0.9   Alessi_10
 0.2277 -0.4545 -0.2043  1023.331   145.078   378.301 1.338 14  --- 301.39437909519 0.0535 -10.50012155853 0.0346 4190868631758515712   2.2502  0.0671   1.501 0.118  -7.824 0.072 0      5803.7        5.6714  16.2791 0.0011      1805.4         12.444    17.21   0.0075       5957.5       15.748    15.3243 0.0029  1.8857    ---   ---  4051.61 0.474  0.235    0.55     0.073   1.0   Alessi_10
 0.3043 -0.305  -0.1939   983.624   196.707   277.685 1.325 13  --- 301.24173957171 0.0429 -10.6303047565  0.0286 4190842415278132096   2.2562  0.0511   1.675 0.093  -7.844 0.062 0      7421.0        7.5446  16.0122 0.0011      2439.9         12.404    16.883  0.0055       7390.9       26.616    15.0902 0.0039  1.7928    ---   ---  3980.5  0.2327 0.11     0.66     0.097   1.0   Alessi_10
 0.1588 -0.272  -0.3072   904.331   105.149   332.857 1.37  13  --- 301.3301399226  0.0705 -10.55506459744 0.0445 4190844614301392256   2.1639  0.0812   1.46  0.146  -7.672 0.096 0      4093.4        4.5264  16.6582 0.0012      1145.7         10.896    17.7037 0.0103       4463.0       13.408    15.6379 0.0033  2.0658    ---   ---  3919.78 0.6297 0.357    0.53     0.061   1.0   Alessi_10
 0.3814 -0.4209 -0.1977   755.096    44.174   234.26  1.423 14  --- 301.32803913481 0.0977 -10.56990571502 0.0678 4190844511222169088   2.3082  0.1196   1.214 0.207  -7.848 0.142 0      2098.2        2.7788  17.3837 0.0014       505.72        11.448    18.5916 0.0246       2480.5       10.589    16.2756 0.0046  2.316     ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.2454 -0.5286 -0.2254   820.962    25.674   199.187 1.471 14  --- 301.54082201171 0.1264 -10.47239446233 0.0828 4190867493590233600   2.3603  0.1645   1.302 0.282  -7.631 0.168 0      1275.6        1.5538  17.924  0.0013       246.91         9.6174   19.37   0.0423       1630.1        8.1839   16.7314 0.0055  2.6387    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.2874 -0.3197 -0.1925  3179.259  1443.579   985.984 1.162 14  --- 301.25172531891 0.0317 -10.58113319751 0.0209 4190844854819582976   2.2734  0.0385   1.378 0.067  -7.479 0.045 1   5700900.0     1793.2      8.7985 0.0003   3956400.0       2740.7       8.8581 0.0008    2665300.0     2703.1       8.6976 0.0011  0.1606    ---   ---  8712.0  0.7205 0.3503   ---      ---     1.0   Alessi_10
 0.2875 -0.2954 -0.2596  1128.747   167.063   508.174 1.31  13  --- 300.97427452555 0.0527 -10.79238749478 0.0303 4190834134580541696   2.1572  0.0584   1.426 0.109  -7.844 0.062 0      8159.2        7.2286  15.9092 0.001       2756.0         16.497    16.7507 0.0065       7930.4       15.606    15.0137 0.0021  1.737     ---   ---  4223.93 0.4237 0.1957   0.59     0.101   1.0   Alessi_10
 0.2841 -0.3247 -0.2546  1226.697   146.03    360.555 1.357 14  --- 301.25614663189 0.0599 -10.7794659279  0.0391 4190831351442276736   2.3107  0.0717   1.28  0.126  -8.197 0.083 0      4709.5        3.8392  16.5059 0.0009      1399.5          9.5838   17.4864 0.0074       4991.6       13.844    15.5163 0.003   1.9701    ---   ---  3921.27 0.305  0.162    0.54     0.061   1.0   Alessi_10
 0.2583 -0.3672 -0.2271   590.293    99.017   234.829 1.325 14  --- 301.25218882102 0.0434 -10.63961861224 0.0287 4190842346558643456   2.1916  0.0527   1.623 0.092  -7.864 0.061 0      7087.0       12.006   16.0622 0.0018      2330.2         23.534    16.9329 0.011        7062.4       30.075    15.1395 0.0046  1.7933    ---   ---  3988.88 0.347  0.149    0.65     0.098   1.0   Alessi_10
 0.3632 -0.4518 -0.2607   864.87    108.53    321.176 1.383 14  --- 301.20626246249 0.0697 -10.62008686154 0.0469 4190843205552136448   2.3806  0.0859   1.388 0.145  -7.695 0.098 0      3302.4        3.8184  16.8913 0.0013       896.41         8.2596   17.9701 0.01         3669.7       11.426    15.8503 0.0034  2.1198    ---   ---  3650.0  0.163  0.0893   0.55     0.049   1.0   Alessi_10
 0.3603 -0.4817 -0.2382  1022.078    52.86    240.728 1.477 14  --- 301.27902706049 0.1037 -10.86463631993 0.0659 4190818874560007552   2.1496  0.1242   1.307 0.214  -8.162 0.134 0      1746.3        1.7086  17.5831 0.0011       317.46         6.0057   19.0972 0.0205       2261.0        9.3925   16.3761 0.0045  2.721     ---   ---     ---  ---    ---      ---      ---     0.8   Alessi_10
 0.3124 -0.4976 -0.1607   582.768    92.756   204.985 1.349 14  --- 301.44798723041 0.0555 -10.41836590094 0.0369 4190871277458397184   2.2836  0.0726   1.285 0.123  -8.126 0.076 0      4950.8        8.4953  16.4517 0.0019      1443.6         15.564    17.4527 0.0117       5234.7       25.537    15.4647 0.0053  1.9881    ---   ---  3852.1  0.3923 0.1867   0.59     0.069   1.0   Alessi_10
 0.1719 -0.239  -0.3698   784.968    39.361   117.056 1.524 12  --- 301.06480809276 0.1612 -10.90954568122 0.0933 4190829251207026688   2.0906  0.1802   0.818 0.328  -7.955 0.191 0      1300.4        1.6566  17.9032 0.0014       282.58         7.1792   19.2235 0.0276       1699.0       14.515    16.6864 0.0093  2.5371    ---   ---     ---  ---    ---      ---      ---     0.6   Alessi_10
 0.2782 -0.4893 -0.0523   985.247    60.014   254.187 1.431 13  --- 301.84283819533 0.104  -10.62629080106 0.0665 4190854677405512064   2.3854  0.1299   1.989 0.227  -7.74  0.145 0      2055.2        2.086   17.4062 0.0011       482.72         8.0435   18.6421 0.0181       2459.1        9.6744   16.285  0.0043  2.3572    ---   ---     ---  ---    ---      ---      ---     1.0   Alessi_10
 0.3539 -0.2163 -0.1608  3912.543  1097.287  2122.01  1.205 13  0.0 301.17344382523 0.0342 -10.85679482907 0.0201 4190830629887762304   2.2326  0.0365   1.625 0.072  -8.032 0.043 0    333710.0       85.293   11.8799 0.0003    187440.0        170.82     12.1692 0.001      214530.0      101.1      11.4332 0.0005  0.736   -10.38  2.56 6250.0  0.481  0.2338   1.37     2.597   1.0   Alessi_10
