  pmRApmDEcor    PlxpmRAcor   PlxpmDEcor    RFG        RFBP          RFRP       E_BR_RP_      Nper          __Fe_H_temp    RA_ICRS       e_RA_ICRS         DE_ICRS       e_DE_ICRS         Source        Plx         e_Plx         pmRA        e_pmRA        pmDE        e_pmDE        Dup          FG          e_FG    Gmag        e_Gmag         FBP      e_FBP       BPmag       e_BPmag        FRP         e_FRP          RPmag      e_RPmag    BP-RP       RV      e_RV    Teff     AG    EBR-RP_    Rad     Lum    Pmemb    Cluster    
  0.1763 -0.2533  0.2261   848.807   126.963   221.355 1.416 11  --- 277.4629102519  0.0591 -12.42659682832 0.0533 4152947712672425600   0.3054  0.0691   0.607 0.108  -0.334 0.094 0      8189.9        9.6488  15.9052 0.0013      2567.7         20.224    16.8275 0.0086       9025.6       40.774    14.8732 0.0049  1.9543    ---   ---  3951.33 1.7185 0.879    ---      ---     0.8   Dias_6 
 0.1827 -0.2666  0.1915   740.571    32.397   110.816 1.467 11  --- 277.47613640459 0.1192 -12.44232717198 0.1071 4152947433491522944   0.3189  0.1363   1.061 0.209  -0.132 0.18  0      1808.9        2.4426  17.5448 0.0015       445.11        13.739    18.7302 0.0335       2208.7       19.931    16.4016 0.0098  2.3286    ---   ---     ---  ---    ---      ---      ---     0.2   Dias_6 
 0.2688 -0.2294  0.255   1013.211   170.055   342.8   1.544 11  --- 277.49906994313 0.0734 -12.45701166982 0.0667 4152947369089429120   0.318   0.0862   0.244 0.138  -0.224 0.129 0     13121.0       12.95    15.3934 0.0011      2077.8         12.218    17.0574 0.0064      18184.0       53.046    14.1127 0.0032  2.9447    ---   ---  4670.0  ---    ---      ---      ---     0.3   Dias_6 
 0.3894 -0.1716  0.1682   596.497    36.009    90.655 1.437 11  --- 277.4543523215  0.1383 -12.40117140151 0.1339 4152950766386151168   0.2816  0.1574   0.62  0.266  -0.944 0.25  0      1332.7        2.2342  17.8765 0.0018       440.19        12.224    18.7423 0.0302       1474.6       16.266    16.8402 0.012   1.9021    ---   ---     ---  ---    ---      ---      ---     0.1   Dias_6 
 0.357  -0.1944  0.1406   486.389    28.404   209.354 1.496 11  --- 277.48136611634 0.1439 -12.42032056022 0.1392 4152947674009960448   0.4723  0.1525   0.364 0.258  -1.129 0.229 0      1382.6        2.8426  17.8366 0.0022       410.11        14.438    18.8191 0.0382       1658.6        7.9225   16.7126 0.0052  2.1066    ---   ---     ---  ---    ---      ---      ---     0.1   Dias_6 
 0.2277 -0.2514  0.1319  1353.347   217.764   321.416 1.278 11  --- 277.44845771971 0.0538 -12.41451515219 0.0498 4152950667624689152   0.5542  0.0574   0.504 0.097  -0.816 0.085 0      8919.7        6.5908  15.8125 0.0008      3647.0         16.748    16.4465 0.005        7753.3       24.122    15.0382 0.0034  1.4083    ---   ---  4443.59 ---    ---      2.07     1.507   0.2   Dias_6 
 0.2537 -0.1982  0.1928  1054.154   105.571   255.675 1.355 11  --- 277.45520310257 0.0583 -12.40297903525 0.0532 4152950701984428032   0.3969  0.0661   0.102 0.11   -0.61  0.102 0      6374.3        6.0469  16.1773 0.001       2194.6         20.788    16.998  0.0103       6440.2       25.189    15.2397 0.0042  1.7583    ---   ---  3974.0  2.1687 1.08     ---      ---     0.4   Dias_6 
 0.325  -0.3781  0.1048  1161.162    48.703   194.746 1.597 10  --- 277.7521384856  0.0751 -12.40530686081 0.0743 4153030038621904768   0.1877  0.0826   0.098 0.143  -0.553 0.126 0      5175.8        4.4574  16.4034 0.0009       819.34        16.823    18.0677 0.0223       7445.8       38.233    15.0821 0.0056  2.9856    ---   ---  4379.1  2.852  1.4418   ---      ---     0.3   Dias_6 
 0.4618 -0.2786  0.1287  1423.092   367.768   454.35  1.284 11  --- 277.66957108775 0.0411 -12.40982878469 0.0403 4153030519657705088   0.4187  0.0431   0.43  0.082  -0.809 0.078 0     14244.0       10.009   15.3043 0.0008      6141.6         16.7      15.8807 0.003       12148.0       26.737    14.5507 0.0024  1.33      ---   ---  4765.5  ---    ---      2.84     3.76    0.7   Dias_6 
 0.5674 -0.3589  0.0152   896.832    64.65     99.825 1.374 10  --- 277.69174759601 0.1245 -12.48455694702 0.1221 4153027594759127552   0.5139  0.1211   0.064 0.239  -0.251 0.223 0      2374.8        2.648   17.2493 0.0012       959.17        14.836    17.8967 0.0168       2303.0       23.07     16.3562 0.0109  1.5405    ---   ---     ---  ---    ---      ---      ---     0.1   Dias_6 
 0.5355 -0.3775  0.0161   652.124    24.461    88.657 2.195 10  --- 277.72250986833 0.1432 -12.4463481752  0.1397 4153029454505743744   0.1633  0.1416   0.224 0.274  -1.372 0.249 0      2526.8        3.8747  17.182  0.0017       857.91        35.073    18.0178 0.0444       4688.0       52.878    15.5845 0.0122  2.4333    ---   ---     ---  ---    ---      ---      ---     0.1   Dias_6 
 0.557  -0.3661  0.0161   848.37     89.679    82.951 1.378 10  --- 277.7468318391  0.117  -12.37567628747 0.1163 4153030996373431168   0.3912  0.1121  -0.174 0.227  -1.352 0.216 0      2124.9        2.5047  17.37   0.0013       900.66        10.043    17.965  0.0121       2027.3       24.44     16.4946 0.0131  1.4704    ---   ---     ---  ---    ---      ---      ---     0.2   Dias_6 
 0.4625 -0.4021 -0.0348   940.709    45.764   138.899 1.524 10  --- 277.73776333148 0.1274 -12.42068177785 0.1254 4153029660664778496   0.2174  0.1251  -0.136 0.237  -0.706 0.208 0      2550.4        2.7112  17.1718 0.0012       555.54        12.139    18.4896 0.0237       3330.2       23.976    15.9557 0.0078  2.5339    ---   ---     ---  ---    ---      ---      ---     0.2   Dias_6 
 0.2496 -0.2994  0.0294  1461.464   287.864   228.526 1.277 11  --- 277.72658344147 0.0508 -12.43352879261 0.0509 4153029557585559936   0.4905  0.0567   0.463 0.095  -0.873 0.083 0      9341.2        6.3916  15.7624 0.0007      4229.2         14.692    16.2858 0.0038       7700.2       33.695    15.0457 0.0048  1.2401    ---   ---  4939.0  ---    ---      1.79     1.716   0.3   Dias_6 
 0.4205 -0.3791  0.1815  1305.249   183.949   277.388 1.325 10  --- 277.6615356851  0.055  -12.42271645962 0.0542 4153029042188950784   0.2853  0.0657   0.552 0.108  -0.725 0.098 0      8442.4        6.4681  15.8722 0.0008      3176.6         17.269    16.5965 0.0059       8010.4       28.878    15.0028 0.0039  1.5937    ---   ---  4354.0  2.7153 1.3385   ---      ---     1.0   Dias_6 
 0.3517 -0.3874  0.0835  1492.644   277.022   342.704 1.295 10  --- 277.72530168208 0.0479 -12.44130713536 0.0474 4153029450185071744   0.4851  0.0523   0.818 0.091   0.178 0.078 0      9397.1        6.2956  15.7559 0.0007      3965.4         14.314    16.3557 0.0039       8202.6       23.935    14.977  0.0032  1.3786    ---   ---  4832.7  ---    ---      1.92     1.813   0.1   Dias_6 
 0.3744 -0.3241  0.0372   568.444    35.585    43.004 1.417 11  --- 277.7433449604  0.1342 -12.42078405036 0.1341 4153029587624047360   0.2772  0.139    0.637 0.252  -0.711 0.227 0      1477.5        2.5992  17.7646 0.0019       624.34        17.545    18.3628 0.0305       1469.3       34.167    16.8441 0.0252  1.5187    ---   ---     ---  ---    ---      ---      ---     0.4   Dias_6 
 0.578  -0.3889 -0.0368   886.409    45.634   104.453 1.385 10  --- 277.68423416775 0.1232 -12.434097156   0.1206 4153030240459052544   0.2289  0.1151   0.422 0.231  -0.608 0.21  0      2057.1        2.3207  17.4052 0.0012       708.84        15.533    18.225  0.0238       2139.3       20.481    16.4362 0.0104  1.7888    ---   ---     ---  ---    ---      ---      ---     0.4   Dias_6 
 0.4225 -0.2858  0.1029  1255.939   138.205   274.775 1.307 11  --- 277.6738618376  0.0491 -12.41232600951 0.0484 4153030519658320896   0.442   0.0511  -0.298 0.097  -1.201 0.092 0     10481.0        8.3448  15.6374 0.0009      4308.4         31.174    16.2656 0.0079       9392.1       34.181    14.83   0.004   1.4356    ---   ---  4439.89 ---    ---      2.82     2.788   0.1   Dias_6 
 0.4605 -0.3572  0.04     791.696    30.119    55.364 1.564 11  --- 277.73570077705 0.1332 -12.3680227948  0.1324 4153031000694645760   0.3356  0.1324  -0.277 0.251  -0.467 0.229 0      1535.3        1.9393  17.7229 0.0014       628.31        20.861    18.356  0.036        1773.3       32.03     16.6399 0.0196  1.716     ---   ---     ---  ---    ---      ---      ---     0.2   Dias_6 
 0.344  -0.3286 -0.083    795.905    38.672   144.905 1.511 10  --- 277.74851225989 0.1485 -12.41234901856 0.143  4153030038598264192   0.4059  0.1444   0.517 0.278  -0.908 0.239 0      2030.1        2.5507  17.4196 0.0014       753.25        19.478    18.159  0.0281       2313.7       15.967    16.3511 0.0075  1.8079    ---   ---     ---  ---    ---      ---      ---     0.3   Dias_6 
 0.2862 -0.4791  0.1451  1260.652   149.574   302.522 1.302 10  --- 277.7594732341  0.069  -12.38040739023 0.0697 4153030927653939712   0.3044  0.0816   0.483 0.133  -0.547 0.113 0      5045.2        4.002   16.4312 0.0009      2258.8         15.102    16.9667 0.0073       4308.2       14.241    15.6762 0.0036  1.2905    ---   ---  4902.0  ---    ---      ---      ---     0.9   Dias_6 
 0.3466 -0.3664  0.0638  1250.356   178.656   149.441 1.376 11  --- 277.7148674168  0.0476 -12.47048444402 0.0475 4153027732198105984   0.3997  0.0504   1.214 0.09   -1.097 0.08  0     10174.0        8.1366  15.6697 0.0009      4718.4         26.411    16.1669 0.0061       9285.4       62.134    14.8424 0.0073  1.3245    ---   ---  4705.45 ---    ---      2.61     3.0     0.1   Dias_6 
